latitude,longitude,date,capacity,plantid,type,Category
40.759167,-73.946111,1963-05,400,2500,Natural Gas,Natural Gas
41.7581,-110.5983,1963-05,163.2,4162,Subbituminous Coal,Coal
44.4504,-100.3866,1963-05,112.3,3356,Water,Hydro
40.646934,-122.626973,1963-05,77.2,442,Water,Hydro
35.50866,-97.17969,1963-06,220,2951,Natural Gas,Natural Gas
44.4504,-100.3866,1963-06,112.3,3356,Water,Hydro
31.983587,-106.431777,1963-06,81.6,3456,Natural Gas,Natural Gas
38.41,-98.8689,1963-06,81.6,1235,Natural Gas,Natural Gas
40.646934,-122.626973,1963-07,77.2,442,Water,Hydro
32.7283,-97.2192,1963-07,404.8,3491,Natural Gas,Natural Gas
35.4346,-80.9588,1963-09,87.5,2722,Water,Hydro
40.616689,-73.647881,1963-10,188,2511,Natural Gas,Natural Gas
38.82881,-120.537089,1963-10,78.9,430,Water,Hydro
37.520833,-90.834722,1963-12,204,2108,Water,Hydro
41.554944,-72.579075,1964-01,239.4,562,Natural Gas,Natural Gas
40.628115,-122.467509,1964-01,90,450,Water,Hydro
34.1661,-102.4114,1964-01,190.4,3485,Natural Gas,Natural Gas
40.797296,-122.762553,1964-02,70,451,Water,Hydro
33.7688,-118.1009,1964-03,495,315,Natural Gas,Natural Gas
40.628115,-122.467509,1964-03,90,450,Water,Hydro
32.848163,-94.547986,1964-05,180,3478,Natural Gas,Natural Gas
40.937939,-80.369007,1964-06,136,3138,Natural Gas,Natural Gas
44.605837,-121.277334,1964-08,112.5,3050,Water,Hydro
36.936614,-111.483872,1964-09,165,153,Water,Hydro
21.356395,-158.128853,1964-09,81.6,765,Residual Fuel Oil,Petroleum
44.605837,-121.277334,1964-10,130,3050,Water,Hydro
44.605837,-121.277334,1964-11,130,3050,Water,Hydro
42.8378,-105.7769,1964-12,229.5,4158,Subbituminous Coal,Coal
36.936614,-111.483872,1964-12,165,153,Water,Hydro
32.7131,-103.3533,1965-01,190.4,2454,Natural Gas,Natural Gas
40.5589,-96.7847,1965-01,119.9,2277,Subbituminous Coal,Coal
43.7508,-70.1567,1965-01,113.6,1507,Residual Fuel Oil,Petroleum
36.9981,-84.5919,1965-02,113.6,1384,Bituminous Coal,Coal
36.936614,-111.483872,1965-02,165,153,Water,Hydro
42.8457,-87.8294,1965-03,317.6,4041,Subbituminous Coal,Coal
35.5975,-80.9658,1965-03,348.5,2727,Natural Gas,Natural Gas
30.1456,-97.2708,1965-05,136,3601,Natural Gas,Natural Gas
32.124519,-96.101277,1965-05,239.3,3507,Natural Gas,Natural Gas
32.6017,-87.7811,1965-06,299.2,10,Natural Gas,Natural Gas
40.759167,-73.946111,1965-06,1027,2500,Natural Gas,Natural Gas
36.936614,-111.483872,1965-07,165,153,Water,Hydro
40.4856,-107.185,1965-07,190,525,Bituminous Coal,Coal
39.465,-84.3778,1965-09,100,2831,Natural Gas,Natural Gas
40.096111,-76.6962,1965-09,405,3140,Natural Gas,Natural Gas
41.0006,-75.0314,1965-09,151,6522,Water,Hydro
39.2008,-79.2636,1965-09,570.2,3954,Bituminous Coal,Coal
37.915,-87.3328,1965-10,166.6,6705,Bituminous Coal,Coal
36.936614,-111.483872,1965-10,165,153,Water,Hydro
27.9072,-82.4231,1965-11,281,7873,Natural Gas,Natural Gas
41.0006,-75.0314,1965-11,151,6522,Water,Hydro
41.0006,-75.0314,1965-12,151,6522,Water,Hydro
31.93985,-94.989834,1965-12,526.6,3504,Natural Gas,Natural Gas
40.992295,-121.975182,1965-12,83.5,249,Water,Hydro
37.0413,-79.5356,1965-12,150.1,3780,Water,Hydro
39.7475,-80.8547,1966-01,82,50491,Natural Gas,Natural Gas
36.936614,-111.483872,1966-01,157,153,Water,Hydro
47.280769,-101.321213,1966-01,216,2817,Lignite,Coal
36.936614,-111.483872,1966-02,165,153,Water,Hydro
37.0413,-79.5356,1966-02,150.1,3780,Water,Hydro
40.992295,-121.975182,1966-02,85.1,249,Water,Hydro
30.8439,-92.261111,1966-02,243.1,1396,Natural Gas,Natural Gas
31.983587,-106.431777,1966-03,121.8,3456,Natural Gas,Natural Gas
29.2567,-98.3825,1966-03,225,3612,Natural Gas,Natural Gas
30.4172,-81.5525,1966-03,297.5,667,Bituminous Coal,Coal
30.005067,-90.461694,1966-04,420.7,1402,Natural Gas,Natural Gas
35.5975,-80.9658,1966-04,348.5,2727,Bituminous Coal,Coal
39.73886,-75.50384,1966-04,176.8,593,Natural Gas,Natural Gas
36.4833,-79.0731,1966-05,410.8,2712,Bituminous Coal,Coal
30.3186,-91.2325,1966-06,90,52006,Natural Gas,Natural Gas
32.6017,-87.7811,1966-07,269.2,10,Natural Gas,Natural Gas
39.2008,-79.2636,1966-07,570.2,3954,Bituminous Coal,Coal
39.7246,-94.8773,1966-08,90,2098,Natural Gas,Natural Gas
45.307406,-107.957515,1966-08,71.9,2204,Water,Hydro
39.1781,-76.5268,1966-08,359,1554,Disillate Fuel Oil,Petroleum
21.388997,-157.961518,1966-10,81.6,766,Residual Fuel Oil,Petroleum
39.000999,-120.725053,1966-10,79.2,427,Water,Hydro
45.307406,-107.957515,1966-11,71.9,2204,Water,Hydro
30.0242,-93.878,1966-12,473.4,3459,Natural Gas,Natural Gas
